Location,State,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,type,year
Aiken, South Carolina,4,3,7,Workplace,43,No,No,semiautomatic handgun,black,M,Mass,1997
Fort Lauderdale, Florida,6,1,7,Workplace,41,Yes,Yes,multiple,black,M,Spree,1996
Corpus Christi, Texas,6,0,6,Workplace,28,No,Yes,multiple,unclear,M,Mass,1995
Fairchild Air Force Base, Washington,5,23,28,Military,20,Yes,Yes,assualt rifle,white,M,Mass,1994
Aurora, Colorado,4,1,5,Workplace,19,Unclear,Unknown,semiautomatic handgun,black,M,Mass,1993
Garden City, New York,6,19,25,Other,35,Yes,Yes,semiautomatic handgun,black,M,Spree,1993
Fayetteville, North Carolina,4,8,12,Other,22,No,Yes,multiple,white,M,Mass,1993
San Francisco, California,9,6,15,Other,55,No,No,multiple,white,M,Mass,1993
Watkins Glen, New York,5,0,5,Other,50,Yes,Yes,semiautomatic handgun,white,M,Mass,1992
Olivehurst, California,4,10,14,School,20,No,Yes,multiple,white,M,Mass,1992
Royal Oak, Michigan,5,5,10,Workplace,31,Yes,Yes,assualt rifle,white,M,Mass,1991
Iowa City, Iowa,6,1,7,School,28,Unclear,Yes,semiautomatic handgun,Asian,M,Spree,1991
Killeen, Texas,24,20,44,Other,35,No,Yes,semiautomatic handgun,white,M,Mass,1991
Jacksonville, Florida,10,4,14,Other,42,No,Yes,assualt rifle,black,M,Mass,1990
Louisville, Kentucky,9,12,21,Workplace,47,Yes,Yes,multiple,white,M,Mass,1989
Stockton, California,6,29,35,School,26,Yes,Yes,multiple,white,M,Mass,1989
Sunnyvale, California,7,4,11,Workplace,39,Yes,Yes,multiple,white,M,Mass,1988
Palm Bay, Florida,6,14,20,Other,59,Yes,Yes,multiple,white,M,Spree,1987
Edmond, Oklahoma,15,6,21,Workplace,44,Unclear ,Yes,semiautomatic handgun,white,M,Mass,1986
San Ysidro, California,22,19,41,Other,41,Yes,Yes,multiple,white,M,Mass,1984
Dallas, Texas,6,1,7,Other,39,Yes,No,"handgun
",white,M,Mass,1984
Miami, Florida,8,3,11,Other,51,Yes,Yes,shotgun,white,M,Mass,1982
